PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2023-04-05,11.74, 13.60, 19.17, 3.34, 3.32, 9.32, suppf,
2023-04-06,14.39, 15.63, 16.17, 3.57, 3.51, 9.46, suppf,
2023-04-07,13.08, 22.95, 14.31, 3.55, 3.55, 9.85, suppf,
2023-04-08,13.43, 16.06, -0.82, 3.21, 3.21, 9.22, suppf,
2023-04-09,11.84, 14.96, -1.19, 3.19, 3.21, 9.09, suppf,
2023-04-10,6.74, 14.38, 4.60, 3.39, 3.37, 9.23, suppf,
2023-04-11,12.24, 18.97, 6.81, 3.37, 3.38, 9.61, suppf,
2023-04-12,14.85, 21.08, 20.95, 3.48, 3.46, 9.58, suppf,
2023-04-13,12.78, 15.00, 14.55, 3.4, 3.41, 9.87, suppf,
2023-04-14,14.08, 20.99, -6.30, 3.43, 3.42, 9.37, suppf,
2023-04-15,13.96, 15.55, 3.09, 3.32, 3.29, 9.76, suppf,
2023-04-16,13.56, 16.66, 4.97, 3.34, 3.31, 9.05, suppf,
2023-04-17,11.40, 18.02, 4.71, 3.38, 3.42, 9.21, suppf,
2023-04-18,8.80, 22.61, -1.86, 3.32, 3.3, 8.9, suppf,
2023-04-19,8.84, 19.31, 9.53, 3.34, 3.31, 8.57, suppf,
2023-04-20,6.87, 8.67, 16.60, 3.43, 3.41, 9.34, suppf,
2023-04-21,12.31, 11.11, 14.17, 3.35, 3.34, 9.06, suppf,
2023-04-22,7.01, 15.33, 8.87, 3.28, 3.25, 9.06, suppf,
