> -L"kivu_presumed_faults_right"
29.0272007072	-2.61986895235
29.0264094935	-2.6107230156
29.0260704019	-2.60078661381
29.0272007072	-2.59141470858
29.0284440431	-2.58001024841
29.0295743483	-2.57018652248
29.030139501	-2.55912062572
29.0305916231	-2.54749003944
29.0312698063	-2.53710146579
> -L"200ft"
29.2514532775	-1.74336813028
29.2562005598	-1.73331304281
29.2578960177	-1.72416173701
29.2598175367	-1.71399356786
29.2610608725	-1.7043902474
29.2620781473	-1.69128446226
29.262869361	-1.68021226443
29.2643387579	-1.67264246038
29.2662602769	-1.66575052382
> -L"200ft"
29.2013597178	-1.79186407556
29.2048636642	-1.78570691363
29.2078589733	-1.78028407502
29.2109673128	-1.77452229152
29.2127758013	-1.77118948699
> -L"200ft"
29.2101760991	-1.79135568683
29.21410391	-1.78559393799
